Unnamed: 0,Species,Main Trait,SIM,Dataset,Sentence,Result,GT Sub Traits
493,Schoepfia schreberi,Fruit shape,Bert,Caribbean,"Spurious fruit with the drupe enclosed in the adnate, accrescent calyx, eccentrically annulate at the apex, seed with the small embryo at the tip of the endosperm.",Can infer correct Entity,['globose']
494,Bursera simaruba,Leaf rachis,Jacc,Caribbean,Fall characteristic: not showy.,None of the above,['not winged']
495,Trichilia trifolia,Stamen shape,Bert,Caribbean,"Flower: petal free, petal imbricate, filament of the stamen partly adnate united, nectary present/obscure, ovary glabrous, ovary number of the locule trilocular, ovary number of the ovule per locule 1.",Can infer correct Value,"['shorter than corolla, connected']"
496,Hippomane mancinella,Stamen number,Jacc,Caribbean,The 1 or 2 carpellate flowers occur at the base of the spike.,Can infer correct Entity,['2']
497,Guaiacum sanctum,Fruit shape,Bert,Caribbean,Fruit length: ½ inch.,Can infer correct Entity,"['3-5-locular, globose']"
498,Bourreria succulenta,Fruit type,Jacc,Caribbean,"Fruit turning from green to redorange, 5-12 mm diam., shiny, nearly globose or ovoid, apiculate at apex.",Can infer correct Entity,['berry']
499,Guaiacum sanctum,Seed colour,Jacc,Caribbean,Flower Seed pods open to reveal red arils.,Can infer correct Entity,['brown']
500,Handroanthus billbergii,Petals / corolla colour,Jacc,Caribbean,"The corolla is yellow, except in those four species where it is magenta with a yellow throat.",Can infer correct Value,['yellow']
501,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The corolla has 5.white fused petals that are salverform.,Can infer correct Value,['white']
502,Bursera simaruba,Leaf glands,Jacc,Caribbean,"Leaf type: odd-pinnately compound, made up of 3-9 leaflets.",Can infer correct Entity,['absent']
504,Bursera simaruba,Leaf rachis,Jacc,Caribbean,"Leaf type: odd-pinnately compound, made up of 3-9 leaflets.",Can infer correct Entity,['not winged']
506,Crossopetalum rhacoma,Fruit type,Jacc,Caribbean,"Fruit obovoid fleshy drupe, red or maroon, 3-6 mm long, bright red at maturity.",Can infer correct Quality,['berry']
507,Randia aculeata,Leaf margin,Bert,Caribbean,Leaf shape: orbiculate.,Can infer correct Entity,['entire']
508,Pithecellobium unguis-cati,Leaf position,Jacc,Caribbean,"Trees are generally evergreen or almost so, even in seasonally dry climates, as leaf fall and flush of new leaves often overlap.",None of the above,['alternate']
509,Guaiacum officinale,Fruit colour,Bert,Caribbean,Fruit has red flesh with black seeds in it.,Can infer correct Quality,"['yellow, orange']"
510,Avicennia germinans,Seed colour,Jacc,Caribbean,A majestic tree with a dark trunk and dark green shiny leaves.,None of the above,['green']
511,Schoepfia schreberi,Fruit shape,Bert,Caribbean,"Drupe ellipsoid, 10-13 mm long, orange, red, or purple when mature.",Can infer correct Quality,['globose']
512,Trichilia trifolia,Stamen shape,Bert,Caribbean,"Nectary patelliform or cyathiform, usually fused at base to staminal tube, 0.2-0.5 mm long, glabrous, very rarely absent.",Can infer correct Entity,"['shorter than corolla, connected']"
513,Hippomane mancinella,Stamen number,Jacc,Caribbean,The staminate flowers occur in groups of 8-15 and are subtended by 2 glands.,Can infer correct Entity,['2']
514,Bourreria succulenta,Stamen number,Jacc,Caribbean,The 5 stamens are fused.to the corolla and are alternate with the petals.,Can infer correct Value,['5']
515,Bourreria succulenta,Stamen number,Jacc,Caribbean,The 5 stamens are fused.to the corolla and are alternate with the petals.,Can infer correct Entity,['5']
516,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The 5 stamens are fused.to the corolla and are alternate with the petals.,Can infer correct Value,['white']
517,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The 5 stamens are fused.to the corolla and are alternate with the petals.,Can infer correct Entity,['white']
518,Guaiacum sanctum,Seed colour,Jacc,Caribbean,"They are followed by small, ornamentally attractive, orange seed pods.",Can infer correct Quality,['brown']
519,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,"Flowers: White, with five white fused petals.",Can infer correct Value,['white']
520,Bursera simaruba,Leaf glands,Jacc,Caribbean,"Leaf color: shiny and green on top, paler green underneath.",Can infer correct Entity,['absent']
522,Bursera simaruba,Leaf rachis,Jacc,Caribbean,"Leaf color: shiny and green on top, paler green underneath.",Can infer correct Entity,['not winged']
524,Crossopetalum rhacoma,Fruit type,Jacc,Caribbean,"Fruit asymmetrically obovoid, slightly angular, 3-5 mm long, turning from green to red.",Can infer correct Entity,['berry']
525,Randia aculeata,Leaf margin,Bert,Caribbean,Leaf type: simple.,Can infer correct Entity,['entire']
526,Pithecellobium unguis-cati,Leaf position,Jacc,Caribbean,"The leaves are abruptly bipinnate with a single pair of pinnae per leaf and two pairs of leaflets per pinna, i.e. 4 leaflets in all per leaf.",Can infer correct Entity,['alternate']
527,Clusia rosea,Leaf upper side,Jacc,Caribbean,"Leaf type and persistence: broadleaf evergreen, evergreen.",Can infer correct Entity,['glabrous']
528,Guaiacum officinale,Fruit colour,Bert,Caribbean,Seed has a reddish aril.,None of the above,"['yellow, orange']"
529,Avicennia germinans,Seed colour,Jacc,Caribbean,"The leaves appear smooth, thick, and leathery with a dark green topside and grey to white underside.",None of the above,['green']
530,Schoepfia schreberi,Fruit shape,Bert,Caribbean,The seed is surrounded.by a red aril.,None of the above,['globose']
531,Trichilia trifolia,Stamen shape,Bert,Caribbean,"Pistillode slender, ovules rudimentary or absent.",None of the above,"['shorter than corolla, connected']"
532,Guaiacum sanctum,Fruit shape,Bert,Caribbean,"Capsules becoming greenish yellow to bright orange, obovoid, 14 to 20, 12 to 14 mm, 4 to 5-lobed, 4 to 5-winged, apex pointed, smooth, glabrous.",Can infer correct Value,"['3-5-locular, globose']"
533,Bourreria succulenta,Stamen number,Jacc,Caribbean,The 5 stamens are fused to the corolla and are alternate with the petals.,Can infer correct Value,['5']
534,Bourreria succulenta,Stamen number,Jacc,Caribbean,The 5 stamens are fused to the corolla and are alternate with the petals.,Can infer correct Entity,['5']
535,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The 5 stamens are fused to the corolla and are alternate with the petals.,Can infer correct Value,['white']
536,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The 5 stamens are fused to the corolla and are alternate with the petals.,Can infer correct Entity,['white']
537,Guaiacum sanctum,Seed colour,Jacc,Caribbean,Dark brown bark on mature trees peels to show patches of gray.,None of the above,['brown']
538,Bursera simaruba,Leaf glands,Jacc,Caribbean,"Leaf blade length: 4 to 8 inches, leaflets are 2 to 4 ½ inches.",Can infer correct Entity,['absent']
539,Randia aculeata,Leaf margin,Bert,Caribbean,Leaf venation: pinnate.,Can infer correct Entity,['entire']
540,Clusia rosea,Leaf upper side,Jacc,Caribbean,Leaf blade length: 3 to 6 inches.,Can infer correct Entity,['glabrous']
541,Guaiacum officinale,Fruit colour,Bert,Caribbean,Bright yellow to orange.,None of the above,"['yellow, orange']"
542,Avicennia germinans,Seed colour,Jacc,Caribbean,"The embryos exhibit cryptovivipary, a process where they start to develop before the seed is shed, but do not break through the outside of the fruit capsule.",Can infer correct Entity,['green']
543,Schoepfia schreberi,Fruit shape,Bert,Caribbean,"Calyx or flower-axis cyathiform, subentire, glabrous, ca.",None of the above,['globose']
544,Trichilia trifolia,Stamen shape,Bert,Caribbean,"Staminal tube cyathiform or short cylindrical, 2-3 mm long, 1-2 mm broad, filaments fused 1/3-2/3 their length, each terminated by 2 subulate lobes, alternate filaments often slightly shorter at least in bud, outside glabrous, inside pubescent to barbate in upper half, anthers 10, 0.5-0.8 mm long, glabrous, antherodes slender, not dehiscing, without pollen.",Can infer correct Value,"['shorter than corolla, connected']"
545,Guaiacum sanctum,Fruit shape,Bert,Caribbean,Fruit color: yellow orange.,Can infer correct Entity,"['3-5-locular, globose']"
546,Bourreria succulenta,Stamen number,Jacc,Caribbean,"Furthermore, the leaves are alternate, entire, spatulate, a smooth shiny green, and up to 5 inches long.",None of the above,['5']
547,Guaiacum sanctum,Seed colour,Jacc,Caribbean,"Guaiacum officinale grows 10 to 30 feet tall, has blue or sometimes white flowers, and light to dark brown seeds.",Can infer correct Value,['brown']
548,Coccoloba uvifera,Fruit colour,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Entity,['black']
549,Coccoloba uvifera,Fruit colour,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Quality,['black']
550,Coccoloba uvifera,Fruit type,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Entity,['drupe']
551,Coccoloba uvifera,Fruit type,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Quality,['drupe']
552,Bourreria succulenta,Fruit shape,Jacc,Caribbean,"Fruit turning from green to redorange, 5-12 mm diam., shiny, nearly globose or ovoid, apiculate at apex.",Can infer correct Value,['globose']
553,Bursera simaruba,Leaf shape,Jacc,Caribbean,"Leaf venation: brachidodrome, pinnate.",Can infer correct Entity,"['ovate, elliptic']"
554,Randia aculeata,Sepals / calyx shape,Bert,Caribbean,Leaf venation: pinnate.,None of the above,['connate']
555,Randia aculeata,Sepals / calyx shape,Bert,Caribbean,Leaf venation: pinnate.,Can infer correct Entity,['connate']
556,Randia aculeata,Leaf upper side,Jacc,Caribbean,Leaf venation: pinnate.,None of the above,"['shiny, glabrous']"
557,Randia aculeata,Leaf upper side,Jacc,Caribbean,Leaf venation: pinnate.,Can infer correct Entity,"['shiny, glabrous']"
558,Conocarpus erectus,Inflorescence type,Bert,Caribbean,"Flowers many in each ball, 2.mm long, mostly bisexual.",Can infer correct Quality,['globose in panicle']
559,Crossopetalum rhacoma,Fruit colour,Bert,Caribbean,"Fruit asymmetrically obovoid, slightly angular, 3-5 mm long, turning from green to red.",Can infer correct Value,"['red, black']"
560,Coccoloba swartzii,Fruit colour,Jacc,Caribbean,The fruit is a round drupe that turns reddish black at maturity and is only slightly. fleshy.,Can infer correct Value,['black']
561,Pithecellobium unguis-cati,Leaf composition,Bert,Caribbean,Alternate hairless leaves have petioles 2 to 5 cm long and leaf blades 2.to 6 cm long.,Can infer correct Entity,"['bi-pinnate, 2 leaflets per jug']"
562,Bourreria succulenta,Leaf glands,Jacc,Caribbean,Leaf stems are yellow-green.,Can infer correct Entity,['absent']
563,Rhizophora mangle,Fruit shape,Bert,Caribbean,"Seed 1, viviparous, becoming cigar-shaped, to 25 cm long and 12 mm in.diameter.",None of the above,"['pyriform, ovoid']"
564,Guaiacum sanctum,Leaf shape,Jacc,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['obovate']
566,Guaiacum sanctum,Leaf lower side,Jacc,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['glabrous']
568,Conocarpus erectus,Life form,Jacc,Caribbean,"This low-branching, multi-trunked, shrubby, evergreen tree has glaucous medium-green leaves.",Can infer correct Value,['tree']
569,Avicennia germinans,Leaf shape,Bert,Caribbean,"Leaves opposite, lanceolate or narrowly.elliptical, 5–11 cm long, 2–4 cm wide, acute or blunt at tip, entire, thick,.leathery.",Can infer correct Value,"['lanceolate, elliptic']"
570,Laguncularia racemosa,Stamen shape,Bert,Caribbean,"Petals, 5, rounded, whitish, 1 mm long, and stamens, 10.",Can infer correct Entity,['shorter than corolla']
571,Jacquinia arborea,Leaf upper side,Bert,Caribbean,"Pedicels 7-13 mm, bracts lanceolate, 1-1.5 mm.",None of the above,['glabrous']
572,Bursera simaruba,Sepals / calyx shape,Bert,Caribbean,Leaf shape: ovate to oblong.,Can infer correct Value,['connate']
573,Bursera simaruba,Sepals / calyx shape,Bert,Caribbean,Leaf shape: ovate to oblong.,None of the above,['connate']
574,Bursera simaruba,Leaf shape,Jacc,Caribbean,Leaf shape: ovate to oblong.,Can infer correct Value,"['ovate, elliptic']"
575,Bursera simaruba,Leaf shape,Jacc,Caribbean,Leaf shape: ovate to oblong.,None of the above,"['ovate, elliptic']"
576,Casearia tremula,Leaf shape,Bert,Caribbean,"Branchlets slender, tips glabrous, older parts early brownish-corticate and set with numerous small pale lenticels.",None of the above,"['ovate, elliptic']"
577,Coccoloba uvifera,Fruit colour,Jacc,Caribbean,The fruit gradually ripens to a purplish color.,Can infer correct Quality,['black']
578,Coccoloba uvifera,Fruit colour,Jacc,Caribbean,The fruit gradually ripens to a purplish color.,Can infer correct Entity,['black']
579,Coccoloba uvifera,Fruit type,Jacc,Caribbean,The fruit gradually ripens to a purplish color.,Can infer correct Quality,['drupe']
580,Coccoloba uvifera,Fruit type,Jacc,Caribbean,The fruit gradually ripens to a purplish color.,Can infer correct Entity,['drupe']
581,Bourreria succulenta,Fruit shape,Jacc,Caribbean,The fruit is a.berry that turns orange-red at maturity.,Can infer correct Entity,['globose']
582,Randia aculeata,Sepals / calyx shape,Bert,Caribbean,"The leaves are arranged oppositely with ovoid, acuminate, paired stipules at the petiole base.",None of the above,['connate']
583,Conocarpus erectus,Inflorescence type,Bert,Caribbean,"Flower characteristics: not showy, emerge in clusters on round, compact heads that are arranged on branched panicles.",Can infer correct Value,['globose in panicle']
584,Crossopetalum rhacoma,Fruit colour,Bert,Caribbean,The fruit is a red drupe at maturity.,Can infer correct Value,"['red, black']"
585,Coccoloba swartzii,Fruit colour,Jacc,Caribbean,"The fruit is a three-angled achene, surrounded by an often brightly coloured fleshy perianth, edible in some species, though often astringent.",Can infer correct Entity,['black']
586,Pithecellobium unguis-cati,Leaf composition,Bert,Caribbean,"The leaves are abruptly bipinnate with a single pair of pinnae per leaf and two pairs of leaflets per pinna, i.e. 4 leaflets in all per leaf.",Can infer correct Value,"['bi-pinnate, 2 leaflets per jug']"
587,Coccoloba uvifera,Fruit type,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Quality,['drupe']
588,Coccoloba uvifera,Fruit type,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Value,['drupe']
589,Coccoloba uvifera,Fruit colour,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Quality,['black']
590,Coccoloba uvifera,Fruit colour,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Value,['black']
591,Randia aculeata,Leaf upper side,Jacc,Caribbean,Leaf type: simple.,Can infer correct Entity,"['shiny, glabrous']"
592,Bourreria succulenta,Leaf glands,Jacc,Caribbean,"Leaf blades 5-15 x 4-8 cm, elliptic, oblong, or ovate, glabrous, chartaceous to coriaceous, the apex obtuse, acute, notched and mucronate, the base tapering, the margins entire and slightly revolute, petioles 0.5-1.5 cm long.",Can infer correct Entity,['absent']
